12,8,3,2H,N,10
12,6,4,2S,S,8
12,1,7,3H,S,9
17,4,7,3H,N,13
17,3,2,5D,S,13
17,1,6,4DX,S,11
18,1,6,4H,W,11
18,3,2,4H,W,10
18,4,7,3H,W,9
19,4,7,5D,W,8
19,3,2,2N,W,9
19,1,6,2N,W,9
20,3,2,6N,W,13
20,1,6,6N,E,13
20,4,7,6N,E,10
21,2,7,3N,S,8
21,4,3,3H,S,11
21,8,6,4HX,S,10
22,2,7,2SX,E,2
22,4,3,3N,N,12
22,8,6,7N,N,12
23,2,7,3N,W,8
23,4,3,3N,W,7
23,8,6,3N,E,8
24,2,7,3N,N,11
24,4,3,3N,N,10
24,8,6,3N,N,11
25,3,1,3N,S,9
25,6,2,3N,S,9
25,8,7,3N,N,8
26,3,1,4H,S,10
26,6,2,3H,S,11
26,8,7,4H,S,10
27,3,1,2H,W,9
27,7,2,1N,N,7
27,8,6,3S,N,8
28,3,1,4S,S,9
28,6,2,4S,S,10
28,8,7,4S,N,11
16,3,6,3N,N,9
16,8,4,4S,S,9
16,2,1,3S,S,10
15,3,6,3N,E,9
15,8,4,3N,E,10
15,2,1,3N,E,9
14,3,6,4S,W,11
14,8,4,4S,W,11
14,2,1,4S,W,11
13,3,6,4S,E,10
13,8,4,3N,E,13
13,2,1,4H,W,12
1,8,1,2N,S,6
1,4,2,2SX,E,7
1,7,3,3NX,N,5
2,4,2,4S,E,11
2,7,3,4S,E,11
2,8,1,4S,W,11
4,4,2,2S,W,7
4,7,3,3S,W,9
4,8,1,3C,S,8
5,8,2,2S,N,7
5,7,6,4H,W,10
5,1,4,3N,W,9
6,8,2,5D,S,9
6,7,6,2H,N,7
6,1,4,4SX,N,5
7,8,2,4SX,N,8
7,7,6,4H,W,11
7,1,4,2SX,N,8
8,8,2,3S,W,9
8,7,6,2S,W,8
8,1,4,3S,W,9
9,8,3,4H,W,10
9,1,7,4H,W,10
9,6,4,3N,E,8
11,8,3,3N,S,9
11,1,7,4S,S,10
11,6,4,4S,S,10
10,8,2,6SX,E,12
10,1,7,2S,E,10
10,6,4,4S,E,11
3,8,1,5S,E,11
3,4,2,4S,E,11
3,7,3,4S,E,12
